#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AADACL2	SUCNR1	9606.ENSP00000348911	9606.ENSP00000355156	0	0	0	0	0.054	0	0	0.714	0.718
ABCA10	ABCC9	9606.ENSP00000269081	9606.ENSP00000261200	0	0	0	0	0.083	0.135	0	0.579	0.637
ABCA10	WDR89	9606.ENSP00000269081	9606.ENSP00000378399	0	0	0	0	0	0	0	0.451	0.451
ABCA10	MAP2K6	9606.ENSP00000269081	9606.ENSP00000468348	0	0	0	0	0	0	0	0.603	0.603
ABCA6	ABCC9	9606.ENSP00000284425	9606.ENSP00000261200	0	0	0	0.539	0.173	0.135	0	0.467	0.407
ABCA6	MAP2K6	9606.ENSP00000284425	9606.ENSP00000468348	0	0	0	0	0	0	0	0.533	0.533
ABCC9	FKTN	9606.ENSP00000261200	9606.ENSP00000223528	0	0	0	0	0	0	0	0.432	0.432
ABCC9	ABCA6	9606.ENSP00000261200	9606.ENSP00000284425	0	0	0	0.539	0.173	0.135	0	0.467	0.407
ABCC9	SLC15A5	9606.ENSP00000261200	9606.ENSP00000340402	0	0	0	0	0.058	0.076	0	0.375	0.408
ABCC9	SLCO4C1	9606.ENSP00000261200	9606.ENSP00000309741	0	0	0	0	0	0	0	0.422	0.422
ABCC9	SCN7A	9606.ENSP00000261200	9606.ENSP00000386796	0	0	0	0	0.096	0.057	0	0.394	0.438
ABCC9	SLMAP	9606.ENSP00000261200	9606.ENSP00000295951	0	0	0	0	0	0	0	0.528	0.528
ABCC9	KCNMB2	9606.ENSP00000261200	9606.ENSP00000407592	0	0	0	0	0	0	0	0.559	0.559
ABCC9	ABCA10	9606.ENSP00000261200	9606.ENSP00000269081	0	0	0	0	0.083	0.135	0	0.579	0.637
ABCD2	FARSB	9606.ENSP00000310688	9606.ENSP00000281828	0	0	0	0	0.463	0	0	0	0.463
